ID,label
0,glacier
1000,mountain
1001,glacier
1002,forest
1003,glacier
1004,sea
1005,glacier
1006,forest
1007,mountain
1008,mountain
1009,mountain
100,street
1010,mountain
1011,buildings
1012,glacier
1013,mountain
1014,mountain
1015,mountain
1016,glacier
1017,sea
1018,mountain
1019,mountain
101,sea
1020,sea
1021,mountain
1022,mountain
1023,sea
1024,sea
1025,sea
1026,glacier
1027,glacier
1028,glacier
1029,forest
102,mountain
1030,sea
1031,mountain
1032,sea
1033,glacier
1034,mountain
1035,glacier
1036,buildings
1037,forest
1038,street
1039,mountain
103,buildings
1040,glacier
1041,buildings
1042,glacier
1043,glacier
1044,street
1045,street
1046,mountain
1047,mountain
1048,glacier
1049,mountain
104,glacier
1050,forest
1051,buildings
1052,mountain
1053,sea
1054,mountain
1055,mountain
1056,street
1057,sea
1058,forest
1059,glacier
105,glacier
1060,street
1061,mountain
1062,mountain
1063,glacier
1064,glacier
1065,buildings
1066,mountain
1067,glacier
1068,glacier
1069,mountain
106,glacier
1070,mountain
1071,mountain
1072,street
1073,sea
1074,mountain
1075,mountain
1076,glacier
1077,forest
1078,mountain
1079,mountain
107,glacier
1080,mountain
1081,glacier
1082,mountain
1083,mountain
1084,glacier
1085,mountain
1086,glacier
1087,glacier
1088,glacier
1089,sea
108,street
1090,mountain
1091,glacier
1092,glacier
1093,glacier
1094,glacier
1095,glacier
1096,mountain
1097,street
1098,glacier
1099,glacier
109,sea
10,glacier
1100,glacier
1101,buildings
1102,glacier
1103,sea
1104,mountain
1105,forest
1106,forest
1107,mountain
1108,mountain
1109,mountain
110,mountain
1110,sea
1111,forest
1112,glacier
1113,mountain
1114,sea
1115,mountain
1116,forest
1117,mountain
1118,mountain
1119,street
111,forest
1120,buildings
1121,glacier
1122,forest
1123,glacier
1124,glacier
1125,mountain
1126,forest
1127,glacier
1128,forest
1129,mountain
112,glacier
1130,forest
1131,mountain
1132,mountain
1133,mountain
1134,mountain
1135,glacier
1136,street
1137,sea
1138,glacier
1139,sea
113,forest
1140,glacier
1141,glacier
1142,forest
1143,glacier
1144,glacier
1145,mountain
1146,glacier
1147,mountain
1148,street
1149,glacier
114,mountain
1150,sea
1151,street
1152,mountain
1153,glacier
1154,mountain
1155,mountain
1156,glacier
1157,street
1158,mountain
1159,glacier
115,sea
1160,mountain
1161,glacier
1162,street
1163,glacier
1164,forest
1165,mountain
1166,mountain
1167,mountain
1168,mountain
1169,mountain
116,buildings
1170,forest
1171,mountain
1172,sea
1173,sea
1174,glacier
1175,glacier
1176,sea
1177,glacier
1178,mountain
1179,street
117,street
1180,mountain
1181,glacier
1182,street
1183,mountain
1184,buildings
1185,glacier
1186,mountain
1187,glacier
1188,buildings
1189,mountain
118,street
1190,glacier
1191,glacier
1192,mountain
1193,glacier
1194,mountain
1195,mountain
1196,glacier
1197,mountain
1198,street
1199,buildings
119,forest
11,mountain
1200,forest
1201,mountain
1202,mountain
1203,glacier
1204,glacier
1205,mountain
1206,mountain
1207,forest
1208,glacier
1209,glacier
120,street
1210,glacier
1211,mountain
1212,glacier
1213,street
1214,glacier
1215,glacier
1216,sea
1217,mountain
1218,forest
1219,sea
121,glacier
1220,street
1221,sea
1222,mountain
1223,glacier
1224,sea
1225,street
1226,glacier
1227,mountain
1228,glacier
1229,mountain
122,street
1230,glacier
1231,mountain
1232,street
1233,mountain
1234,glacier
1235,street
1236,mountain
1237,sea
1238,sea
1239,buildings
123,mountain
1240,glacier
1241,glacier
1242,sea
1243,mountain
1244,buildings
1245,sea
1246,glacier
1247,sea
1248,buildings
1249,mountain
124,mountain
1250,forest
1251,buildings
1252,glacier
1253,glacier
1254,forest
1255,glacier
1256,mountain
1257,mountain
1258,glacier
1259,street
125,mountain
1260,buildings
1261,mountain
1262,mountain
1263,sea
1264,mountain
1265,street
1266,buildings
1267,glacier
1268,buildings
1269,mountain
126,glacier
1270,glacier
1271,mountain
1272,mountain
1273,glacier
1274,forest
1275,forest
1276,street
1277,buildings
1278,glacier
1279,glacier
127,street
1280,mountain
1281,mountain
1282,sea
1283,glacier
1284,sea
1285,sea
1286,buildings
1287,forest
1288,mountain
1289,glacier
128,buildings
1290,forest
1291,forest
1292,glacier
1293,mountain
1294,sea
1295,glacier
1296,mountain
1297,buildings
1298,mountain
1299,mountain
129,glacier
12,forest
1300,mountain
1301,mountain
1302,mountain
1303,sea
1304,street
1305,mountain
1306,forest
1307,mountain
1308,buildings
1309,mountain
130,forest
1310,street
1311,street
1312,glacier
1313,buildings
1314,sea
1315,mountain
1316,buildings
1317,mountain
1318,glacier
1319,glacier
131,mountain
1320,mountain
1321,sea
1322,street
1323,sea
1324,glacier
1325,glacier
1326,forest
1327,mountain
1328,mountain
1329,street
132,sea
1330,buildings
1331,mountain
1332,mountain
1333,street
1334,buildings
1335,street
1336,sea
1337,mountain
1338,mountain
1339,mountain
133,glacier
1340,mountain
1341,street
1342,sea
1343,mountain
1344,buildings
1345,sea
1346,sea
1347,mountain
1348,forest
1349,sea
134,glacier
1350,mountain
1351,mountain
1352,forest
1353,street
1354,forest
1355,mountain
1356,glacier
1357,street
1358,glacier
1359,sea
135,mountain
1360,glacier
1361,glacier
1362,forest
1363,mountain
1364,buildings
1365,mountain
1366,buildings
1367,mountain
1368,glacier
1369,mountain
136,mountain
1370,glacier
1371,mountain
1372,mountain
1373,buildings
1374,mountain
1375,sea
1376,buildings
1377,forest
1378,mountain
1379,glacier
137,mountain
1380,mountain
1381,mountain
1382,street
1383,glacier
1384,buildings
1385,glacier
1386,mountain
1387,sea
1388,mountain
1389,mountain
138,forest
1390,sea
1391,sea
1392,mountain
1393,glacier
1394,glacier
